Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country
0.065683302,0.013662802,0.108640379,0.159869513,0.003927809,0.001852459,0.000705572,0.012671942,0.013728853
0.065412491,0.01354103,0.108047063,0.160658246,0.004379726,0.002148544,0.000502576,0.013353114,0.013547907
0.065063357,0.013768867,0.109258501,0.16047207,0.003838948,0.001695829,0.000827202,0.011678786,0.014154451
0.06417108,0.013336954,0.110266356,0.160541626,0.005188996,0.001728694,0.000689357,0.012671432,0.013630208
0.064654288,0.014326394,0.107702212,0.159208047,0.004985003,0.002314325,0.001040582,0.012197057,0.014834833
0.065145477,0.013663043,0.108753059,0.159277802,0.003920876,0.002043962,0.000876668,0.01244958,0.014180328
0.065774277,0.014395334,0.108213022,0.159380031,0.006681129,0.002613768,0.000491299,0.012795334,0.013547907
0.064088062,0.013597245,0.110322097,0.160793364,0.003639622,0.001612164,0.000652851,0.012280764,0.01385921
0.064103641,0.013558639,0.108429722,0.161949487,0.005163768,0.00206732,0.00060141,0.012689709,0.013811044
0.064725169,0.013569841,0.110087623,0.159791091,0.005340294,0.002279625,0.00056793,0.012610462,0.013579231
0.064693558,0.014022321,0.107822368,0.157647118,0.003081316,0.002629614,0.001422881,0.012595041,0.015052032
0.065404456,0.013623603,0.109287793,0.160583708,0.002974306,0.001889603,0.000666373,0.01193899,0.013816445
0.065020904,0.013364951,0.109019827,0.160329706,0.005734656,0.002449477,0.000505561,0.012972638,0.013547907
0.065073847,0.013403531,0.109694075,0.159220662,0.005365805,0.002158309,0.000485655,0.013626985,0.013547907
0.064939047,0.013527535,0.109653401,0.160765897,0.002983982,0.001683982,0.000686943,0.012143608,0.013547907
0.065151037,0.013575365,0.109525965,0.160650846,0.001854902,0.001606524,0.000657991,0.012103435,0.013809542
0.064952311,0.013714803,0.109715519,0.160916341,0.002522994,0.001698256,0.000749356,0.011916478,0.013547907
0.065493431,0.013677209,0.109147106,0.160280548,0.003978189,0.001514481,0.00081567,0.012210069,0.01400757
0.065336272,0.014436007,0.106998994,0.157622624,0.004060781,0.002458358,0.00134497,0.01281321,0.014894461
0.064907359,0.013582246,0.109151904,0.16012204,0.004022951,0.002029748,0.00082438,0.012038697,0.013813474
0.065081877,0.013748857,0.109156267,0.160385401,0.007800728,0.001909207,0.000791627,0.011764746,0.013977358
0.06381072,0.013919342,0.110652571,0.160500591,0.00477111,0.001694251,0.000676029,0.012170349,0.013787118
0.065742066,0.013254733,0.108037096,0.159974873,0.004393935,0.002202328,0.000551177,0.013861293,0.013587407
0.064997382,0.013636497,0.109638689,0.160375304,0.002442699,0.001631211,0.000826803,0.012009522,0.013985498
0.065290868,0.013794081,0.109297684,0.160526818,0.002109206,0.001818319,0.000740788,0.012003124,0.01373929
0.06410065,0.013901328,0.110003759,0.161077728,0.001990382,0.001763265,0.000833145,0.011837923,0.013626463
0.065350805,0.014252371,0.107734443,0.158621199,0.00548988,0.002550824,0.001154015,0.01244406,0.014058241
0.064804053,0.01354103,0.109001707,0.161266684,0.003870217,0.002101603,0.000549517,0.012120399,0.013825978
0.064078358,0.014050135,0.110254141,0.160742578,0.004045573,0.001880752,0.000654256,0.011969011,0.013581742
0.064844904,0.01377043,0.1096415,0.159745314,0.004690286,0.002024218,0.000551608,0.011918022,0.014714976
0.064489114,0.013510365,0.109331172,0.161581622,0.005053917,0.002093689,0.000557431,0.01189973,0.013747848
0.065035153,0.013804762,0.108562512,0.158830089,0.003154095,0.002156929,0.001040883,0.01234237,0.014458067
0.063513529,0.013986632,0.110882472,0.160489938,0.003319605,0.002133391,0.000641401,0.011913707,0.013649901
0.065369912,0.013462444,0.109504618,0.16014806,0.003763159,0.002340895,0.000575447,0.012261688,0.013547907
0.065249219,0.013531058,0.109602356,0.160667051,0.006742431,0.001869151,0.000547882,0.012196347,0.013547907
0.064589582,0.014061071,0.10961638,0.160646107,0.00140073,0.001666419,0.000830519,0.011895802,0.013789493
0.064411071,0.01359359,0.109509793,0.160782447,0.002708614,0.002080562,0.000493234,0.01258705,0.013753225
0.065213937,0.013896535,0.109272162,0.160284578,0.004834211,0.002023615,0.000510704,0.012461534,0.013547907
0.064729278,0.013697854,0.109557101,0.161184636,0.002911356,0.001837095,0.000740624,0.011916478,0.013547907
0.064768794,0.013849199,0.108765895,0.16041775,0.002734254,0.001904821,0.000640694,0.01207652,0.014211275
0.064701325,0.013768867,0.1094535,0.160901428,0.002693127,0.001711283,0.000852349,0.011814162,0.013808624
0.064310057,0.013625808,0.109362991,0.161675902,0.003419913,0.001971542,0.000668578,0.012048186,0.013547907
0.065419439,0.013503253,0.109459941,0.160136179,0.003735021,0.00200715,0.000581008,0.012556095,0.013547907
0.06588069,0.013914353,0.10858759,0.159307198,0.004835515,0.002091875,0.000567872,0.01306495,0.013796443
0.064339113,0.013744596,0.109993032,0.160887315,0.003020869,0.002041906,0.000739632,0.011815773,0.013649604
0.06479302,0.013592011,0.10929174,0.159534362,0.00277051,0.001986099,0.000793924,0.012247922,0.014266032
0.06526837,0.013711629,0.108724309,0.160566705,0.003090274,0.002071895,0.000550795,0.012769361,0.013547907
0.064436896,0.013697854,0.109610993,0.161477018,0.005805678,0.001783202,0.000740624,0.011916478,0.013547907
0.066291503,0.012589037,0.108455873,0.159015371,0.006638062,0.002105871,0.000568819,0.014012067,0.014172431
0.064223448,0.013542268,0.109326876,0.161846051,0.003583026,0.00206732,0.000585038,0.012072064,0.013547907
0.065142838,0.013880381,0.108580622,0.160588548,0.004839351,0.002104092,0.00062367,0.012339577,0.013951244
0.064832806,0.013593247,0.10964679,0.160270385,0.001509047,0.001817775,0.000772674,0.012016205,0.0139513
0.064274247,0.013348099,0.109495072,0.158823926,0.004946496,0.002094692,0.000498536,0.014997258,0.013679142
0.065347484,0.013460002,0.109480756,0.160225278,0.002181221,0.002144976,0.000566812,0.012437756,0.013547907
0.064608261,0.01377019,0.108190855,0.160324229,0.004325397,0.002068643,0.000883242,0.011960459,0.01456761
0.064499285,0.013235995,0.110561387,0.16064687,0.004734981,0.002062426,0.000740624,0.011916478,0.013547907
0.064051618,0.013772607,0.109603117,0.161589945,0.001776834,0.001988676,0.000740624,0.011916478,0.013547907
0.063660378,0.013971328,0.109900994,0.161714964,0.00254613,0.001706988,0.000740624,0.011916478,0.013547907
0.064974242,0.013320045,0.109505492,0.160579541,0.002750188,0.002176613,0.000505635,0.012601497,0.013547907
0.063965665,0.014225626,0.10698436,0.158241381,0.004929943,0.002690568,0.001474347,0.012973131,0.015245002
