Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country
0.068503702,0.014345472,0.005674395,0.155939496,0.085579616,0.001169558,0.001634734,0.013577045,0.013518402
0.067513928,0.01458709,0.005566744,0.155658565,0.084122923,0.001684119,0.001571392,0.014081485,0.014300368
0.067965806,0.01458709,0.00295125,0.15587601,0.085127586,0.001294831,0.00169822,0.013903803,0.013518402
0.068098197,0.01458709,0.006303831,0.155939496,0.085531909,0.001217265,0.001634734,0.013577045,0.013518402
0.068038145,0.014626587,0.003053172,0.155888271,0.085133282,0.00118963,0.001716494,0.013694286,0.013827423
0.068225484,0.014593629,0.002215208,0.156023233,0.085977876,0.001169558,0.001634734,0.013577045,0.013518402
0.067607927,0.01458709,0.003449524,0.156004563,0.08442452,0.00161991,0.001569667,0.013814544,0.013985648
0.067725325,0.01458709,0.006300122,0.155861851,0.084509644,0.001773985,0.00171238,0.014011869,0.013549124
0.066938438,0.01458709,0.005646362,0.154026453,0.082805451,0.002297346,0.002050187,0.014860393,0.015379022
0.068009879,0.014627382,0.002314342,0.156891899,0.085579616,0.001169558,0.001634734,0.013577045,0.013518402
0.067856655,0.015279399,0.006191999,0.156085471,0.086504466,0.001169558,0.001634734,0.013577045,0.013518402
0.067386141,0.01458709,0.003986737,0.154851988,0.083845128,0.001831283,0.001719479,0.014875553,0.014295421
0.068624251,0.014448284,0.007070673,0.154883212,0.086774706,0.001169558,0.001634734,0.013577045,0.013518402
0.068638086,0.014804607,0.004033644,0.155832434,0.085686678,0.001062496,0.001741796,0.013577045,0.013518402
0.068919459,0.013929715,0.004839945,0.155165823,0.085528657,0.001310217,0.001662594,0.013483939,0.014267621
0.067456583,0.01458709,0.005469062,0.155970182,0.083937562,0.0019673,0.001553505,0.013821968,0.014168334
0.069045997,0.01431561,0.004559253,0.157231316,0.084756519,0.001169558,0.000673377,0.014538402,0.013518402
0.067352742,0.014347344,0.004693155,0.157254982,0.085686678,0.001062496,0.001741796,0.013577045,0.013518402
