Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country,,,,
0.064926596,0.01354103,0.109687207,0.160916341,0.024144181,0.001367526,0.000537351,0.009682606,0.013792896,,,,
0.065131301,0.013504351,0.109566469,0.160783176,0.024304434,0.000192088,0.000528918,0.00981624,0.013669209,,,,
0.064997788,0.013637438,0.109687207,0.160927838,0.024310817,0.001412915,0.000533127,0.009794622,0.013518469,,,,
0.065113906,0.013487017,0.109781711,0.160023518,0.025203641,0.001907782,0.000533127,0.009794622,0.013518469,,,,
0.065146009,0.01369196,0.109544665,0.160773799,0.024370721,0.000953083,0.000580807,0.009756039,0.01359201,,,,
0.065286859,0.01354103,0.109498665,0.160783878,0.024499359,0.001040805,0.000533127,0.009794622,0.013518469,,,,
0.065258666,0.01354103,0.109025415,0.160812071,0.02497261,0.001410991,0.000533127,0.009794622,0.013518469,,,,
0.065421056,0.013688022,0.109273556,0.160502689,0.024724469,0.002511102,0.000533127,0.009742956,0.013570135,,,,
0.065171783,0.01354103,0.109157618,0.160443594,0.024141771,0.00076231,0.000580455,0.009937346,0.014027053,,,,
0.065005465,0.013408545,0.109968624,0.160343186,0.024611943,0.002306799,0.000538038,0.010033748,0.013546462,,,,
0.065402073,0.013659793,0.108835029,0.160503046,0.025039579,0.000884593,0.000536173,0.009905098,0.013575218,,,,
0.064068834,0.013722987,0.109716795,0.160717071,0.023035784,0.002282777,0.000994614,0.010270289,0.014055617,,,,
0.065533234,0.013257814,0.109339662,0.160349069,0.024868694,0.003188736,0.000448793,0.009926374,0.013732371,,,,
0.064250768,0.01371695,0.109913232,0.160451506,0.02396941,0.001308399,0.000677294,0.009891305,0.014083861,,,,
0.065196473,0.01354103,0.10964513,0.160874264,0.024352894,0.000243906,0.000533127,0.009794622,0.013518469,,,,
0.065433234,0.013521591,0.109427809,0.160637503,0.024589655,0.000427049,0.000533127,0.009794622,0.013518469,,,,
0.06468051,0.0134517,0.110046332,0.160916341,0.024310817,0.001595485,0.000533127,0.009492301,0.013820789,,,,
0.065068058,0.013348081,0.109707104,0.161002679,0.024244105,0.00108166,0.000561037,0.009904051,0.013620895,,,,
0.065068058,0.013538586,0.108828,0.160526935,0.024978947,0.001261203,0.000584908,0.009920729,0.013535209,,,,
0.065341746,0.013639017,0.108379889,0.160190292,0.025785648,0.002258487,0.000555814,0.009953047,0.013610555,,,,
0.064953282,0.013425319,0.109947257,0.16082786,0.024190975,0.000999718,0.000536501,0.009929641,0.013588399,,,,
0.065207489,0.013614647,0.10952682,0.160714472,0.024516025,0.001131376,0.00050926,0.009526678,0.013840619,,,,
0.064707847,0.01369607,0.10935699,0.160510569,0.023961058,0.000755244,0.000692161,0.009947406,0.014026834,,,,
0.065098956,0.01354103,0.109089831,0.160894533,0.024193294,0.001400738,0.00054785,0.010298589,0.01371468,,,,
0.064951556,0.01354103,0.109656229,0.161095384,0.024341795,0.000676026,0.000523955,0.009803794,0.013518469,,,,
0.065166759,0.01345911,0.109372927,0.160445713,0.024384269,0.000913232,0.000509146,0.00989219,0.013992021,,,,
0.065025114,0.013437209,0.109920134,0.160669108,0.024424608,0.001194403,0.000572188,0.009846478,0.013561171,,,,
0.065117107,0.01354103,0.109641543,0.160918484,0.024356481,0.000685433,0.000533127,0.009742105,0.013570985,,,,
0.06497987,0.01354103,0.109687207,0.160916341,0.024205523,0.000307018,0.000535388,0.009721302,0.013694822,,,,
0.065040746,0.013615764,0.109161304,0.160084109,0.025707869,0.001638451,0.000533127,0.009794622,0.013518469,,,,
0.064749244,0.01354103,0.109687207,0.161275379,0.024310707,0.001692214,0.000529242,0.009798618,0.013518469,,,,
0.065092244,0.013884011,0.109369234,0.160272005,0.024912765,0.001685631,0.000569773,0.009816008,0.01353997,,,,
0.065343998,0.013543895,0.109394248,0.160533281,0.024648611,0.000401745,0.000508887,0.009885088,0.013598,,,,
0.065429545,0.013707364,0.108676949,0.160197536,0.025330636,0.001204189,0.000503342,0.010028482,0.013582155,,,,
0.064423153,0.013863914,0.109687207,0.160916341,0.023610075,0.002626999,0.000548051,0.009889742,0.014109167,,,,
0.064408331,0.013892183,0.109744558,0.160267202,0.024435939,0.002125693,0.000576743,0.009880208,0.013913285,,,,
0.064800952,0.01354103,0.109485058,0.161020617,0.024340285,0.000938323,0.000561895,0.009790062,0.013666942,,,,
0.065143068,0.013370909,0.109630426,0.160537727,0.024322669,0.000595505,0.000559199,0.009830606,0.013823176,,,,
0.065533402,0.0136181,0.109231131,0.160186881,0.024566164,0.001338443,0.000562471,0.009875127,0.013882734,,,,
0.06507369,0.01354103,0.10955875,0.160822161,0.024346284,0.000332131,0.000549327,0.009728313,0.013661569,,,,
0.064796148,0.01354103,0.109394778,0.161274588,0.024527316,0.002414213,0.000568285,0.009835394,0.01354103,,,,
0.065542694,0.065224262,0.109537114,0.160846475,0.024460911,0.001103094,0.000533127,0.009794622,0.013518469,,,,
0.065107537,0.01339567,0.109392911,0.160465892,0.024794701,0.000887342,0.000520652,0.009983014,0.013795631,,,,
0.065191425,0.013453588,0.109557224,0.160613886,0.024711866,0.00074695,0.000589034,0.009795625,0.01354336,,,,
0.065174254,0.01354103,0.109667349,0.160896483,0.024330676,0.004499037,0.000533127,0.009552573,0.013760518,,,,
0.065012965,0.013607161,0.109687207,0.160933073,0.024310817,0.000460525,0.000533127,0.009794622,0.013518469,,,,
0.065478029,0.013586985,0.10931762,0.160546754,0.024680405,0.002837296,0.000533127,0.009794622,0.013518469,,,,
0.064835808,0.013452432,0.108590804,0.160342362,0.026211911,0.00214196,0.000599457,0.009876591,0.013546646,,,,
0.064871071,0.01354103,0.109687207,0.160916341,0.024310817,0.001620306,0.000533127,0.009794622,0.013518469,,,,
2.160937837,,,,,,,,,,,,
0.064642662,0.013538869,0.109633694,0.160073106,0.025469338,0.001997253,0.00051808,0.010054152,0.013526108,,,,
0.065301397,0.013753336,0.109012493,0.160283737,0.025258829,0.001846713,0.000533127,0.009794622,0.013518469,,,,
0.064586562,0.013588552,0.109471317,0.161097101,0.024681215,0.001033989,0.000520288,0.009986261,0.013524714,,,,
0.065115609,0.01354103,0.108487407,0.160955128,0.025510618,0.002775147,0.000533127,0.009794622,0.013518469,,,,
0.064741882,0.013544037,0.109556286,0.160703864,0.02451634,0.000545204,0.000522239,0.009731253,0.013794214,,,,z
0.065208123,0.01354103,0.10963348,0.160862614,0.024364544,0.000923292,0.000533127,0.009794622,0.013518469,,,,
0.065747847,0.013477132,0.108405441,0.160069159,0.025676677,0.001946035,0.000558187,0.009924408,0.013597159,,,,
0.065034348,0.01354103,0.109687207,0.16101276,0.024310817,0.00039558,0.000533127,0.009794622,0.013518469,,,,
0.065081665,0.013543903,0.109642815,0.160986199,0.0243419,0.000476784,0.000523787,0.009817271,0.013518469,,,,
0.065150192,0.013664006,0.108249011,0.160046239,0.026353486,0.002225541,0.00052519,0.009949416,0.013518469,,,,
