Age,Workclass,Education,Marital_status,Occupation,Race,Sex,Hours_per_week,Native_country
0.064602508,0.002804509,0.111242232,0.154367372,0.028689391,0.004079958,0.002912702,0.012539294,0.016382092
0.064241454,0.001436097,0.112729303,0.155091962,0.028594563,0.003626522,0.002470784,0.011909532,0.016151429
0.06463988,0.000994568,0.111384842,0.155095996,0.028977747,0.003834255,0.002652555,0.012108329,0.016121945
0.064861495,0.002307868,0.111783082,0.155046608,0.028652097,0.003787196,0.002589971,0.01202872,0.016066379
0.064373611,0.000661494,0.111259033,0.154758459,0.028893715,0.004020668,0.002861251,0.012318169,0.016330641
0.064230214,0.000818967,0.111533909,0.154542366,0.028771934,0.004018908,0.002829759,0.01232638,0.016469137
0.064473846,0.000773056,0.111291146,0.154311426,0.028649456,0.004093201,0.002994722,0.012530315,0.016292748
0.064648199,0.000219459,0.111149012,0.154422609,0.028864927,0.004030689,0.002882147,0.012389635,0.016403197
0.063963524,0.000822899,0.111720794,0.154058912,0.028806896,0.00424038,0.003026496,0.012427438,0.016283848
0.064398225,0.000944456,0.111416715,0.154516438,0.028362365,0.004109758,0.002923662,0.012385574,0.016367635
0.064527984,0.001374994,0.111144375,0.154710777,0.028932239,0.003969211,0.002829325,0.012285704,0.016415932
0.064322971,0.000885837,0.111485184,0.154575308,0.028563755,0.004116543,0.002888361,0.012253763,0.016396661
0.065466681,0.002984755,0.113910834,0.157056089,0.0283456,0.002505374,0.001386342,0.011083866,0.015060763
0.064563668,0.00066239,0.111189541,0.154135681,0.028761167,0.004171489,0.003000466,0.012482659,0.016290856
0.064242559,0.002158961,0.110957485,0.15448021,0.029208096,0.004183211,0.003010444,0.012305335,0.016335977
0.063836164,0.002834777,0.111115149,0.154983854,0.028868956,0.004188497,0.002929485,0.012486812,0.016357553
0.06450276,0.004100966,0.112120603,0.156826071,0.028600432,0.003368445,0.002079563,0.011511241,0.015806434
0.064646265,0.001115321,0.111101833,0.154359404,0.028994502,0.004010081,0.002882459,0.012451413,0.016369592
0.063673729,0.003718009,0.113737401,0.154758601,0.028951242,0.003550149,0.002447465,0.01183316,0.015863802
0.064930353,0.00270598,0.111862184,0.154946132,0.028569375,0.003756346,0.002641801,0.012039357,0.016069999
0.064816088,0.001541992,0.110990312,0.154012959,0.028639197,0.004118297,0.002966705,0.012231502,0.016360178
0.063602917,0.00262762,0.112249737,0.15444117,0.028011,0.004072044,0.002911063,0.012545479,0.016388492
0.064177655,0.000849931,0.111552085,0.154234664,0.028735156,0.004194958,0.003023236,0.012413835,0.016280224
0.064437112,0.000695629,0.111233593,0.15465518,0.028939057,0.004031649,0.002891782,0.012298267,0.016328908
0.064240506,0.002045764,0.111637072,0.155211796,0.029132129,0.00367608,0.00253975,0.01216909,0.016209125
0.06389245,0.001709911,0.111388348,0.154849411,0.029244497,0.004037843,0.002820152,0.012328137,0.016254709
0.064259119,0.001666103,0.112264299,0.156008421,0.028963175,0.003393207,0.00223509,0.011686861,0.016005377
0.064506448,0.000773795,0.111358838,0.154479393,0.0287516,0.004059412,0.002926315,0.012342422,0.01639112
0.064326514,0.002066313,0.111127171,0.154683079,0.02881979,0.004043061,0.002906382,0.012511528,0.016369141
0.064491875,0.001732677,0.111472968,0.154667634,0.028520826,0.003915668,0.002849871,0.012360388,0.016445367
0.063911757,0.00169731,0.111735046,0.15480789,0.02836892,0.003869697,0.002915539,0.012209118,0.016397247
0.063540447,0.002562152,0.111143652,0.155304259,0.028936113,0.004119583,0.002944858,0.012391152,0.016328701
0.06488025,0.001203245,0.11191661,0.155147438,0.028556874,0.003730185,0.002558685,0.011997433,0.016028075
0.064016075,0.000709393,0.111844908,0.154736466,0.028436201,0.004063714,0.002920248,0.012073683,0.016398986
0.064073763,0.002814136,0.111175542,0.155006879,0.028998252,0.003869741,0.002766877,0.012343704,0.016562189
0.064728882,0.003591783,0.111560134,0.15440201,0.029582631,0.003741083,0.002426663,0.012321096,0.016053049
0.064500745,0.001815956,0.111504152,0.154787861,0.028729332,0.003954422,0.002833528,0.012237433,0.016268075
0.06475301,0.002190141,0.111827888,0.154936683,0.028492375,0.003841618,0.002686681,0.012150655,0.016126639
0.06486283,0.00163515,0.111675309,0.155344854,0.029239944,0.003558262,0.002416051,0.011846385,0.015871914
0.064677916,0.001035733,0.111587326,0.155077343,0.028951716,0.003703973,0.002554823,0.012057291,0.016205162
0.064415732,0.002134234,0.111502323,0.155331348,0.028884812,0.003838093,0.002645034,0.012083783,0.016114424
0.063656819,0.001536321,0.111998814,0.154282371,0.028614557,0.004269065,0.003075435,0.012359351,0.016211831
0.064894231,0.004154923,0.111945504,0.155196947,0.028323986,0.003724154,0.002529954,0.012075124,0.016125648
0.064017331,0.001433904,0.111474112,0.15524929,0.028700904,0.003973365,0.002817628,0.012256376,0.016326542
0.064468997,0.00163378,0.112336927,0.154956219,0.028592072,0.003751884,0.002609018,0.012034895,0.016065537
0.064370492,0.001081692,0.111408374,0.154361008,0.028380485,0.004145832,0.003006458,0.012480605,0.016306725
0.064167551,0.000556868,0.111425153,0.154474652,0.028649699,0.004159207,0.002950806,0.012463593,0.016336351
0.064325552,0.000469772,0.111557678,0.154792304,0.02868778,0.003972218,0.00282897,0.012291402,0.016348804
0.064496722,0.001427403,0.111385748,0.154433993,0.028920917,0.003909807,0.00275407,0.012690832,0.01622346
0.065034614,0.001486663,0.111752559,0.155151464,0.028898492,0.003594672,0.002458489,0.011872799,0.016052459
0.064663871,0.000438546,0.111165916,0.154285504,0.028809766,0.00409491,0.002909304,0.012383852,0.016373143
0.063902892,0.002024177,0.11171612,0.154590763,0.029013758,0.004023275,0.002877417,0.012354395,0.016336927
0.063931168,0.001433387,0.111180815,0.155055662,0.028903491,0.004063007,0.002907269,0.012386612,0.016376659
0.065593499,0.002951925,0.114082328,0.158044676,0.028699346,0.002135035,0.000979297,0.010832678,0.014448688
0.064709461,0.0015621,0.111732294,0.155477473,0.028448564,0.003666738,0.002513122,0.011947196,0.016320701
0.064589631,0.001075705,0.111307865,0.154638209,0.028548181,0.004027202,0.002795142,0.012268414,0.016490554
0.063851975,0.001391514,0.111195696,0.155176985,0.028588228,0.004008832,0.002935712,0.012294046,0.016393057
0.06406682,0.002512846,0.111727526,0.154347621,0.028902356,0.00413173,0.002907332,0.01234608,0.016376722
0.065940665,0.00268726,0.1175525,0.161467359,0.02541234,0.001719509,0.000805108,0.009853887,0.013622775
0.064319483,0.002377663,0.111687948,0.155091067,0.028103187,0.003917267,0.002780011,0.012141408,0.016527379
