Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.040567023,0.409688955,0.203029855,0.00144027,0.004023857,0.005578666,0.001268586,0.01989141
0.043502679,0.411560498,0.201337665,0.001392412,0.004084984,0.005517746,0.001546484,0.018695595
0.0357676,0.403953731,0.207222996,0.000780341,0.005466646,0.005504653,0.014058797,0.029373525
0.042071841,0.410002541,0.202768502,0.001392412,0.004071176,0.005531555,0.000154448,0.018695595
0.033070369,0.401001068,0.1876614,0.009132415,0.009908272,0.010042209,0.009789397,0.024716416
0.033880313,0.392959875,0.195229412,0.008437403,0.008747006,0.009889968,0.01078236,0.027198115
0.04166761,0.410097167,0.203172734,0.001392412,0.003760891,0.005816816,0.00051886,0.018720619
0.039591978,0.407522677,0.203306872,0.002518796,0.002974307,0.005958256,0.00375326,0.020180871
0.04371624,0.410026777,0.205470919,0.001392412,0.004084984,0.005517746,0.004348605,0.018695595
0.02130164,0.09847965,0.092421061,0.096507623,0.094611315,0.091882392,0.169943215,0.09748825
0.050591439,0.418522138,0.194248905,0.001392412,0.004084984,0.005517746,0.015472237,0.018695595
0.041971463,0.409902162,0.202868881,0.001392412,0.004084984,0.005517746,0.000290112,0.018695595
0.036628509,0.410855158,0.200714744,0.002926012,0.008700476,0.005267442,0.030837326,0.020293898
0.040359334,0.408290033,0.197175847,0.001978423,0.004739541,0.007314057,0.008028148,0.022963876
0.0353924,0.38662583,0.173011828,0.016261414,0.016177011,0.023070549,0.038020713,0.018695595
0.041512589,0.419929692,0.203327754,0.001392412,0.004084984,0.005517746,0.011213212,0.018695595
0.029883434,0.39111725,0.181490233,0.012286392,0.01277542,0.01391724,0.012471735,0.030875245
0.033998458,0.378451889,0.204917639,0.010985076,0.00817546,0.008348494,0.045321025,0.031583221
0.042039404,0.410311964,0.202478782,0.001435127,0.004042176,0.005495608,0.000344737,0.019039983
0.042886703,0.405678821,0.20158422,0.001056993,0.003646715,0.006616275,0.006073642,0.023087672
0.040432995,0.406432745,0.20592659,0.00180412,0.004084984,0.005517746,0.00225411,0.018695595
0.041696335,0.409824935,0.203144009,0.001392412,0.004084984,0.005517746,0.000201391,0.018695595
0.035595837,0.400423584,0.193021935,0.006505573,0.007519561,0.008352128,0.009315464,0.026638998
0.030636539,0.386257819,0.182749034,0.012393279,0.012821056,0.014212454,0.01444957,0.033100718
0.029869583,0.384639627,0.188058545,0.012584774,0.012858536,0.013129967,0.014047054,0.031190332
0.042491464,0.419565734,0.203760201,0.001392412,0.004084984,0.005517746,0.011041498,0.018695595
0.040135147,0.413027152,0.204705197,0.001392412,0.004084984,0.005517746,0.008758955,0.018695595
0.039225626,0.408642638,0.2049602,0.002046928,0.004084984,0.005517746,0.005767342,0.018695595
0.032034513,0.367151942,0.163220926,0.02079161,0.020418351,0.022272513,0.026967237,0.038674575
0.043410367,0.412655813,0.198800483,0.001392412,0.004084984,0.005517746,0.002630408,0.018695595
