Age,Weight,HtShoes,Ht,Seated,Arm,Thigh,Leg
0.039203699,0.089212824,0.087636401,0.086803261,0.087032776,0.087385059,0.089285302,0.116440681
0.014986586,0.090635497,0.088264744,0.089302296,0.088300313,0.091957334,0.089671626,0.114881607
0.022296363,0.090137096,0.087773934,0.089055694,0.087762618,0.090543749,0.088642061,0.111788488
0.006723222,0.092463971,0.089560589,0.090462124,0.08956901,0.094143334,0.090810947,0.118266803
0.000390394,0.092384295,0.090743457,0.091956508,0.090712172,0.09384095,0.091348905,0.115623321
0.09165644,0.085619383,0.085977495,0.091614866,0.083822638,0.083734459,0.08317759,0.094397131
0.010532971,0.093769174,0.091972009,0.093308294,0.092239202,0.095299086,0.092605552,0.117273711
0.010424957,0.093514133,0.092330289,0.09583287,0.090377659,0.093746334,0.0910528,0.115720959
0.010048468,0.09111635,0.09224159,0.094818969,0.091400952,0.097074637,0.093306777,0.114992255
0.05676189,0.085412455,0.086266373,0.085365212,0.085244783,0.095863654,0.087978676,0.132106958
0.014038846,0.091460781,0.089436889,0.090732233,0.089479683,0.091892571,0.09068877,0.112270228
0.002425258,0.092336991,0.090271346,0.090660061,0.090233847,0.093981918,0.090935872,0.116154709
0.00351346,0.092015821,0.090124705,0.092149001,0.089905773,0.09424121,0.09049793,0.120552098
0.012396413,0.093303658,0.091939719,0.094568648,0.091464895,0.09483357,0.092140036,0.11935306
0.00372416,0.092427316,0.089621177,0.092650462,0.089232513,0.09630639,0.089907654,0.120130327
0.032384515,0.087461675,0.086288697,0.088344882,0.085826299,0.091188407,0.085884842,0.115620686
0.003238947,0.092231232,0.090472593,0.091773846,0.090431156,0.093747568,0.09103338,0.114071278
0.012265713,0.090010314,0.089796227,0.091021539,0.090507211,0.095002343,0.091497869,0.113898785
0.02800369,0.088642601,0.088399988,0.090077831,0.088036353,0.090073603,0.089520954,0.114244983
0.004614893,0.092196793,0.090399628,0.091735913,0.09035803,0.093726705,0.091033171,0.118934864
0.026351539,0.093048002,0.090605294,0.094158492,0.089828188,0.093040393,0.090606976,0.108361115
0.005895135,0.091785702,0.090038358,0.091408709,0.089958922,0.0933574,0.090920863,0.120634912
0.008133721,0.092378254,0.090094381,0.092438637,0.090707011,0.096312741,0.090633547,0.115301706
0.015220537,0.090573408,0.088273765,0.089427619,0.088271367,0.091770002,0.089569299,0.114894
0.126403376,0.082314941,0.082879536,0.085358986,0.083539213,0.082041274,0.082017534,0.106445137
0.067252212,0.095603254,0.102648543,0.107449936,0.095893866,0.097133166,0.098911232,0.119107791
0.006442277,0.092468693,0.091099438,0.093362602,0.091121223,0.093998605,0.091533932,0.11597323
0.029427092,0.08981314,0.087997736,0.089934099,0.088204765,0.092539025,0.087998102,0.103086045
0.008780385,0.091218292,0.089419838,0.09064277,0.08939351,0.092706075,0.090099805,0.114739326
0.006417104,0.094294102,0.090795325,0.093362327,0.090640002,0.093736684,0.09104315,0.115711309
